,0,1,2,3,4,5
91,2018-03-05 10:12:37,1,U0155,13.666532,100.504265,3836
92,2018-03-05 10:12:48,1,U0155,13.666753,100.50434,3862
93,2018-03-05 10:12:57,1,U0155,13.666944,100.50441,3884
94,2018-03-05 10:13:07,1,U0155,13.667246,100.5045,3919
95,2018-03-05 10:13:17,1,U0155,0,0,3919
96,2018-03-05 10:13:28,1,U0155,13.668425,100.50478,4054
97,2018-03-05 10:13:38,1,U0155,0,0,4054
98,2018-03-05 10:13:48,1,U0155,13.669549,100.505264,4189
99,2018-03-05 10:13:58,1,U0155,0,0,4189
100,2018-03-05 10:14:08,1,U0155,13.670185,100.50585,4189
101,2018-03-05 10:14:18,1,U0155,0,0,4189
102,2018-03-05 10:14:28,1,U0155,0,0,4189
103,2018-03-05 10:14:38,1,U0155,0,0,4189
104,2018-03-05 10:14:48,1,U0155,0,0,4189
105,2018-03-05 10:14:58,1,U0155,0,0,4189
106,2018-03-05 10:15:08,1,U0155,13.670899,100.50632,4283
107,2018-03-05 10:15:18,1,U0155,13.670899,100.50632,4283
108,2018-03-05 10:15:28,1,U0155,13.671234,100.50701,4367
109,2018-03-05 10:15:50,1,U0155,13.672273,100.50732,4589
110,2018-03-05 10:15:58,1,U0155,13.672244,100.50695,4629
111,2018-03-05 10:16:08,1,U0155,13.672047,100.50646,4686
112,2018-03-05 10:16:18,1,U0155,13.671284,100.506424,4771
113,2018-03-05 10:16:28,1,U0155,0,0,4771
114,2018-03-05 10:16:38,1,U0155,13.671337,100.507866,4927
115,2018-03-05 10:16:48,1,U0155,13.671491,100.50824,4971
116,2018-03-05 10:16:58,1,U0155,13.671786,100.50872,5032
117,2018-03-05 10:17:08,1,U0155,13.672099,100.50915,5090
118,2018-03-05 10:17:18,1,U0155,0,0,5090
119,2018-03-05 10:17:28,1,U0155,0,0,5090
120,2018-03-05 10:17:38,1,U0155,13.673035,100.5102,5244
121,2018-03-05 10:17:48,1,U0155,13.673751,100.510796,5347
122,2018-03-05 10:17:58,1,U0155,13.674503,100.511375,5451
123,2018-03-05 10:18:08,1,U0155,13.675197,100.51193,5549
124,2018-03-05 10:18:18,1,U0155,0,0,5549
125,2018-03-05 10:18:28,1,U0155,0,0,5549
126,2018-03-05 10:18:38,1,U0155,0,0,5549
127,2018-03-05 10:18:48,1,U0155,13.678026,100.514145,5944
128,2018-03-05 10:18:58,1,U0155,13.678688,100.51466,6037
129,2018-03-05 10:19:08,1,U0155,0,0,6037
130,2018-03-05 10:19:18,1,U0155,13.679983,100.51568,6217
131,2018-03-05 10:19:28,1,U0155,13.680428,100.51602,6279
132,2018-03-05 10:19:38,1,U0155,13.681087,100.51654,6372
133,2018-03-05 10:19:48,1,U0155,13.681832,100.51712,6475
134,2018-03-05 10:19:58,1,U0155,13.682763,100.51784,6605
135,2018-03-05 10:20:08,1,U0155,13.683535,100.51843,6712
136,2018-03-05 10:20:18,1,U0155,0,0,6712
137,2018-03-05 10:20:28,1,U0155,13.68534,100.51984,6964
138,2018-03-05 10:20:38,1,U0155,13.686262,100.52057,7093
139,2018-03-05 10:20:48,1,U0155,13.687274,100.52136,7234
140,2018-03-05 10:20:58,1,U0155,13.689272,100.52294,7515
141,2018-03-05 10:21:08,1,U0155,13.690619,100.524025,7705
142,2018-03-05 10:21:18,1,U0155,13.692105,100.525246,7916
143,2018-03-05 10:21:28,1,U0155,13.693695,100.52581,8103
144,2018-03-05 10:21:38,1,U0155,13.695112,100.52481,8294
145,2018-03-05 10:21:48,1,U0155,13.695112,100.52481,8294
146,2018-03-05 10:21:58,1,U0155,13.697093,100.52283,8602
147,2018-03-05 10:22:08,1,U0155,13.698371,100.52145,8808
148,2018-03-05 10:22:18,1,U0155,0,0,8808
149,2018-03-05 10:22:28,1,U0155,13.702025,100.51889,9299
150,2018-03-05 10:22:38,1,U0155,0,0,9299
151,2018-03-05 10:22:48,1,U0155,13.705494,100.5183,9690
152,2018-03-05 10:22:58,1,U0155,13.707007,100.518486,9859
153,2018-03-05 10:23:08,1,U0155,13.708812,100.518936,10066
154,2018-03-05 10:23:18,1,U0155,13.710491,100.5194,10259
155,2018-03-05 10:23:28,1,U0155,13.712538,100.519905,10493
156,2018-03-05 10:23:38,1,U0155,13.715284,100.51987,10799
157,2018-03-05 10:23:48,1,U0155,13.718194,100.51908,11133
158,2018-03-05 10:23:58,1,U0155,13.720521,100.51837,11403
159,2018-03-05 10:24:08,1,U0155,13.722723,100.517784,11656
160,2018-03-05 10:24:18,1,U0155,13.724947,100.51747,11906
161,2018-03-05 10:24:28,1,U0155,13.727166,100.51739,12152
162,2018-03-05 10:24:38,1,U0155,13.729153,100.51727,12374
163,2018-03-05 10:24:48,1,U0155,13.731345,100.51749,12619
164,2018-03-05 10:24:59,1,U0155,0,0,12855
165,2018-03-05 10:25:08,1,U0155,0,0,12855
166,2018-03-05 10:25:18,1,U0155,13.740114,100.51981,13627
167,2018-03-05 10:25:28,1,U0155,13.74237,100.52019,13881
168,2018-03-05 10:25:38,1,U0155,13.744715,100.5205,14144
169,2018-03-05 10:25:48,1,U0155,13.746996,100.520905,14401
170,2018-03-05 10:25:58,1,U0155,13.749434,100.52171,14686
171,2018-03-05 10:26:08,1,U0155,13.751702,100.522575,14955
172,2018-03-05 10:26:18,1,U0155,0,0,14955
173,2018-03-05 10:26:28,1,U0155,13.755196,100.5233,15351
174,2018-03-05 10:26:38,1,U0155,0,0,15351
175,2018-03-05 10:26:48,1,U0155,13.758051,100.52417,15682
176,2018-03-05 10:26:58,1,U0155,13.759314,100.524704,15834
177,2018-03-05 10:27:08,1,U0155,13.760575,100.525215,15985
178,2018-03-05 10:27:18,1,U0155,13.763517,100.52639,16336
179,2018-03-05 10:27:28,1,U0155,13.76519,100.52707,16536
180,2018-03-05 10:27:38,1,U0155,13.766518,100.52761,16695
181,2018-03-05 10:27:48,1,U0155,13.767869,100.52816,16856
182,2018-03-05 10:27:58,1,U0155,13.769116,100.52869,17006
183,2018-03-05 10:28:08,1,U0155,13.77088,100.52948,17220
184,2018-03-05 10:28:18,1,U0155,13.772128,100.53066,17409
185,2018-03-05 10:28:28,1,U0155,13.771595,100.53239,17604
186,2018-03-05 10:28:38,1,U0155,13.770589,100.53411,17821
187,2018-03-05 10:28:48,1,U0155,13.76982,100.535675,18011
188,2018-03-05 10:28:58,1,U0155,0,0,18011
189,2018-03-05 10:29:08,1,U0155,13.767236,100.53918,18492
190,2018-03-05 10:29:18,1,U0155,13.766964,100.539375,18529
191,2018-03-05 10:29:28,1,U0155,0,0,18529
192,2018-03-05 10:29:38,1,U0155,0,0,18529
193,2018-03-05 10:29:48,1,U0155,13.76805,100.54009,18672
194,2018-03-05 10:29:58,1,U0155,13.76956,100.54071,18853
195,2018-03-05 10:30:08,1,U0155,13.77034,100.541016,18946
196,2018-03-05 10:30:18,1,U0155,13.771242,100.54121,19048
197,2018-03-05 10:30:28,1,U0155,13.772472,100.54127,19185
198,2018-03-05 10:30:38,1,U0155,0,0,19185
199,2018-03-05 10:30:48,1,U0155,0,0,19185
200,2018-03-05 10:30:58,1,U0155,0,0,19185
201,2018-03-05 10:31:08,1,U0155,0,0,19185
202,2018-03-05 10:31:18,1,U0155,0,0,19185
203,2018-03-05 10:31:28,1,U0155,0,0,19185
204,2018-03-05 10:31:38,1,U0155,13.777912,100.5422,19799
205,2018-03-05 10:31:48,1,U0155,13.778201,100.54264,19856
206,2018-03-05 10:31:58,1,U0155,0,0,19935
207,2018-03-05 10:32:08,1,U0155,0,0,19935
208,2018-03-05 10:32:18,1,U0155,0,0,19935
209,2018-03-05 10:32:28,1,U0155,0,0,19935
210,2018-03-05 10:32:38,1,U0155,0,0,19935
211,2018-03-05 10:32:48,1,U0155,13.783383,100.546104,19935
212,2018-03-05 10:32:58,1,U0155,13.783287,100.54601,19935
213,2018-03-05 10:33:08,1,U0155,13.783046,100.54595,19963
214,2018-03-05 10:33:18,1,U0155,13.782964,100.545906,19963
215,2018-03-05 10:33:28,1,U0155,13.781119,100.54529,20179
216,2018-03-05 10:33:38,1,U0155,13.780143,100.54496,20293
217,2018-03-05 10:33:48,1,U0155,0,0,20293
218,2018-03-05 10:33:58,1,U0155,0,0,20293
219,2018-03-05 10:34:08,1,U0155,13.77812,100.544395,20526
220,2018-03-05 10:34:18,1,U0155,13.777423,100.54414,20609
221,2018-03-05 10:34:28,1,U0155,13.77653,100.5441,20708
222,2018-03-05 10:34:38,1,U0155,13.775276,100.543465,20864
223,2018-03-05 10:34:48,1,U0155,13.774644,100.5432,20940
224,2018-03-05 10:34:58,1,U0155,0,0,20940
225,2018-03-05 10:35:08,1,U0155,0,0,20940
226,2018-03-05 10:35:19,1,U0155,0,0,20940
227,2018-03-05 10:35:28,1,U0155,13.771669,100.541306,21329
228,2018-03-05 10:35:38,1,U0155,13.768612,100.54051,21679
229,2018-03-05 10:35:49,1,U0155,13.7674,100.53989,21830
230,2018-03-05 10:35:58,1,U0155,13.766871,100.53957,21898
231,2018-03-05 10:36:08,1,U0155,13.766448,100.53965,21946
232,2018-03-05 10:36:18,1,U0155,0,0,21946
233,2018-03-05 10:36:28,1,U0155,0,0,21946
234,2018-03-05 10:36:38,1,U0155,0,0,21946
235,2018-03-05 10:36:48,1,U0155,13.765671,100.54018,103
236,2018-03-05 10:36:58,1,U0155,13.764834,100.54104,235
237,2018-03-05 10:37:08,1,U0155,0,0,235
238,2018-03-05 10:37:18,1,U0155,13.76347,100.54352,543
239,2018-03-05 10:37:28,1,U0155,13.762975,100.54424,639
240,2018-03-05 10:37:38,1,U0155,0,0,639
241,2018-03-05 10:37:48,1,U0155,13.761847,100.54536,813
242,2018-03-05 10:37:58,1,U0155,0,0,813
243,2018-03-05 10:38:08,1,U0155,0,0,813
244,2018-03-05 10:38:18,1,U0155,13.758297,100.54896,1367
245,2018-03-05 10:38:28,1,U0155,13.757788,100.550186,1511
246,2018-03-05 10:38:38,1,U0155,13.757328,100.55068,1585
247,2018-03-05 10:38:48,1,U0155,13.75675,100.55077,1650
248,2018-03-05 10:38:58,1,U0155,13.756255,100.55042,1717
249,2018-03-05 10:39:08,1,U0155,13.756148,100.549644,1802
250,2018-03-05 10:39:18,1,U0155,13.756299,100.54869,1907
251,2018-03-05 10:39:28,1,U0155,13.756356,100.548325,1947
252,2018-03-05 10:39:38,1,U0155,13.756398,100.5481,1971
253,2018-03-05 10:39:48,1,U0155,0,0,1971
254,2018-03-05 10:39:58,1,U0155,13.756439,100.5479,1994
255,2018-03-05 10:40:08,1,U0155,13.756561,100.5474,2049
256,2018-03-05 10:40:18,1,U0155,13.75661,100.54715,2077
257,2018-03-05 10:40:28,1,U0155,13.75664,100.547035,2090
